인덱스,상품명,할인율,할인가,원가
261,[창화당]납작숯불왕군만두(500g),20%,"7,900","9,900"
262,워커힐 곰탕 (600g),5%,"11,400","12,000"
263,[입점특가]위니의 쿠키 3종 세트,38%,"4,950","8,000"
264,"[나폴레옹]아몬드 스폰지(1박스, 663g)",0%,"24,800","25,000"
265,"박막례 치즈떡볶이(2인분,485g)",10%,"6,200","6,900"
266,[창화당]대구식납작만두(300g),9%,"4,000","4,400"
267,우리밀 통살텐더 순한맛(350g),34%,"4,900","7,500"
268,무항생제 문어모양 비엔나(240g),10%,"3,600","4,000"
269,유자바질 닭가슴살 샐러드(167g),38%,"3,000","4,900"
270,향긋한 연잎밥 (230g),20%,"3,760","4,700"
271,아침미소 수제요구르트(150ml),17%,"1,980","2,400"
272,아침미소 수제요구르트(500ml),17%,"4,980","6,000"
273,매뉴팩트커피 디카페인 콜드브루 과테말라 500ml,14%,"15,000","17,500"
274,[금강수림]한우소고기무국(1kg),10%,"13,500","15,000"
275,펠트 콜드브루 원액 오리지널(500ml),2%,"12,700","13,000"
276,볼라레 마르게리타피자 320g,20%,"11,900","15,000"
277,우리밀 통살텐더 매운맛(350g),36%,"4,800","7,500"
278,새벽집 따로국밥 (600g),5%,"7,200","7,600"
279,설성목장 한우 소머리 설렁탕(500g),20%,"9,600","12,000"
280,샤브레디아망 (100g),28%,"3,960","5,500"
281,설성목장 한우 샤오롱바오(168g),25%,"2,980","3,980"
282,구운고구마와 수비드닭가슴살 샐러드(300g/370kcal),5%,"6,500","6,900"
283,매뉴팩트커피 콜드브루 폴 고갱 500ml,14%,"15,000","17,500"
284,[금강수림]바지락황태국(1kg),11%,"12,000","13,500"
285,부드러운 생연어회(120g),27%,"8,500","11,800"
286,"[백리향] 백짬뽕(2인분,626g)",15%,"11,700","13,900"
287,무농약 찰수수 부꾸미 (50g x 10개 | 냉동),6%,"9,150","9,800"
288,워커힐 명월관 갈비탕 (600g),3%,"16,490","17,000"
